Cable ID,Injected,Failed,Age_at_first_Fault,1km bins 
80,0,0,0,0-1000
81,0,0,0,0-1000
82,1,0,0,4000-5000
83,0,0,0,0-1000
84,0,0,0,1000-2000
85,0,0,0,0-1000
86,0,0,0,0-1000
87,0,0,0,0-1000
88,0,0,0,0-1000
89,0,0,0,0-1000
90,0,0,0,5000-max
91,0,0,0,0-1000
92,0,0,0,0-1000
93,0,0,0,0-1000
94,0,0,0,0-1000
95,0,0,0,0-1000
96,0,0,0,0-1000
97,0,0,0,0-1000
98,0,0,0,0-1000
99,0,0,0,0-1000
100,0,0,0,0-1000
101,0,0,0,0-1000
102,0,0,0,0-1000
103,0,0,0,0-1000
104,0,0,0,0-1000
105,0,0,0,0-1000
106,0,0,0,0-1000
107,0,0,0,0-1000
108,0,0,0,0-1000
109,0,0,0,0-1000
110,0,0,0,0-1000
111,0,0,0,2000-3000
112,0,0,0,0-1000
113,0,0,0,5000-max
114,0,0,0,0-1000
115,0,0,0,0-1000
116,0,0,0,1000-2000
117,0,0,0,0-1000
118,0,0,0,0-1000
119,0,0,0,0-1000
120,0,0,0,0-1000
121,0,0,0,0-1000
122,1,1,36,1000-2000
123,0,0,0,1000-2000
124,0,0,0,3000-4000
125,0,0,0,0-1000
126,0,0,0,0-1000
127,0,0,0,0-1000
128,0,0,0,0-1000
129,0,0,0,0-1000
130,0,0,0,2000-3000
131,0,0,0,0-1000
132,0,0,0,0-1000
133,0,0,0,3000-4000
134,0,0,0,0-1000
135,0,0,0,0-1000
136,0,0,0,0-1000
137,0,0,0,0-1000
138,0,0,0,0-1000
139,0,0,0,0-1000
140,0,1,15,5000-max
141,0,0,0,0-1000
142,0,0,0,0-1000
143,0,0,0,0-1000
144,0,0,0,0-1000
145,0,0,0,2000-3000
146,0,0,0,0-1000
147,0,0,0,0-1000
148,0,0,0,0-1000
149,0,0,0,0-1000
150,0,0,0,0-1000
151,0,0,0,0-1000
152,0,0,0,0-1000
153,0,0,0,0-1000
154,0,0,0,0-1000
155,0,0,0,0-1000
156,0,0,0,0-1000
157,0,0,0,0-1000
158,0,0,0,0-1000
159,0,0,0,0-1000
160,0,0,0,0-1000
161,0,0,0,0-1000
162,0,0,0,2000-3000
163,0,0,0,0-1000
164,0,0,0,0-1000
165,0,0,0,0-1000
166,0,0,0,0-1000
167,0,0,0,0-1000
168,0,0,0,0-1000
169,0,0,0,0-1000
170,0,0,0,0-1000
171,0,0,0,0-1000
172,0,0,0,0-1000
173,1,1,37,0-1000
174,0,0,0,1000-2000
175,0,0,0,0-1000
176,0,0,0,0-1000
177,1,0,0,0-1000
178,0,0,0,0-1000
